DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16
35390870,413,-1.076297085,-1.360690481,-0.6120423134,-0.2401942332,1,1,2,3
35390871,1756,-1.09370906,-0.9060072699,-0.4526068033,-0.4629564666,1,1,2,3
35390872,454,-0.9261193485,-1.016451496,-0.1541197111,-0.7768456798,1,1,3,2
35390873,404,-0.3124991802,-0.3408097274,-0.1989311966,-0.9609244637,3,3,3,1
35390874,487,-0.1985016251,-0.08329589034,0.1388405053,-0.9669884185,3,3,4,1
35390875,470,-0.834471974,-0.2477498842,-0.3051000932,-1.116614348,1,3,3,1
35390876,560,-0.7634672573,-0.7900907107,0.05726710206,-0.7315059216,2,2,4,2
35390877,505,-1.335117356,0.2732029371,-0.3532597644,-0.1891185056,1,4,2,3
35390878,422,-0.801882167,-0.5210677133,0.6912209643,-1.085975714,1,2,5,1
35390879,417,-0.6246152015,-0.3261737266,-0.6135062626,-0.9338414914,2,3,2,1
35390880,439,-0.628556984,-0.1586832187,0.9888380249,-0.7961553995,2,3,5,2
35390881,527,-0.5624427669,-0.8561842436,-0.2341178753,-0.7372218344,2,1,3,2
35390882,386,-0.5201744337,-0.8759283383,-0.2398462069,-1.005691574,2,1,3,1
35390883,873,-0.5970593899,-1.323566168,-0.7115367228,-0.5953703831,2,1,2,2
35390884,420,-0.7860920215,-1.073059358,-0.2985167044,-0.9405976245,1,1,3,1
35390885,419,-0.9278203752,-0.332731923,-0.5984821543,-0.9818292835,1,3,2,1
35390886,508,-0.4710576322,-0.4468914756,-0.7796968507,-0.8775163087,3,2,1,1
35390887,444,-0.4604466984,-0.428583313,-0.710026647,-1.066309945,3,2,2,1
35390888,427,-0.8011024968,-1.02770352,0.3457946684,-0.565931447,1,1,4,2
35390889,282,0.7676657274,1.350245211,-0.4372362676,-0.8192934853,5,5,2,1
35390890,783,1.123985264,0.17898504,0.6230211507,-0.9010004836,5,4,5,1
35390891,596,2.613137971,-1.075990613,1.183261928,-0.6317136813,5,1,5,2
35390892,1114,-0.1756034172,-0.4412870697,1.876391309,-0.7297332678,3,2,5,2
35390893,920,-0.114003294,0.1803621974,-0.5845705514,-0.3163297482,3,4,2,3
35390894,298,-0.862706991,-0.2862666639,0.8861082461,-0.5127357979,1,3,5,2
35390895,312,-0.796732485,-0.7021667197,0.1754691682,-0.4675741699,1,2,4,3
35390896,228,-0.8512882621,0.1221331729,0.2960083086,0.06069789263,1,4,4,4
35390897,761,-1.331275758,-0.8233057392,-1.517065272,0.2714137952,1,1,1,4
35390898,1250,-1.058873378,-1.09961642,-0.572011878,-0.2821067007,1,1,2,3
35390899,1599,-1.191330924,-0.9293048166,-1.055989857,-0.1745891951,1,1,1,3
35390900,1037,-1.081547762,-1.229249083,-0.8936682112,-0.1639566099,1,1,1,3
35390901,1250,-0.5057076992,-0.3949696787,-1.256649358,0.2182381342,2,3,1,4
35390902,2419,-0.1921558176,-1.045309842,-0.4628547921,0.5649820353,3,1,2,4
35390903,912,1.029537088,0.3778803788,3.642199566,-1.047180673,5,4,5,1
35390904,388,3.031979773,0.8587640002,-1.061925008,1.159004251,5,5,1,5
35390905,714,-0.4486729835,-0.7753945099,0.1541630637,-0.169937122,3,2,4,3
35390906,443,-1.009093527,-0.8100964672,-0.1926984808,-0.07082611966,1,1,3,3
35390907,1143,-0.3456809527,0.2650516307,-0.09383371384,-0.1415451054,3,4,3,3
35390908,298,-0.0303536303,3.123102898,-0.8640430588,1.207797447,4,5,1,5
35390909,586,-0.8537006338,-1.217754107,-1.000931418,-0.08011192554,1,1,1,3
35390910,1015,0.3475138877,-1.382833698,3.141781116,-0.6809678907,4,1,5,2
