DAUID,instability,deprivation,dependency,ethnic_concentration,year,patient_volume
35010155,-0.4771892302,0.05300009721,0.2278393271,-1.263003133,2016,0.0
35010156,-0.2594852309,-0.05298230493,0.7031841782,-1.128303939,2016,0.0
35010157,-0.7818585609,-0.02753210017,-0.07708540825,-1.090066068,2016,0.0
35010158,-0.4229026118,0.6202563834,0.1689251636,-0.8680303493,2016,0.0
35010159,-0.5760179515,-0.03693195377,0.519181215,-0.815481743,2016,0.0
35010160,-0.4971030775,-0.2297805224,-0.03376810771,-0.8604918071,2016,0.0
35010161,-0.6453809737,0.002529281656,0.1611221588,-0.8900823417,2016,0.0
35010162,0.01434735863,0.2612123452,1.854599258,-1.070345636,2016,0.0
35010163,-0.4104523231,-0.1837583107,0.3766547139,-1.188088096,2016,0.0
35010164,-0.7009669985,-0.1992574321,0.6742788375,-1.209023404,2016,0.0
35010165,-0.544103595,-0.1901061998,0.3899482624,-0.8050056887,2016,0.0
35010166,-0.8666083954,-0.1249766219,0.2083024159,-0.9296191609,2016,0.0
35010167,-0.6884408839,-0.3065531394,0.4603983021,-0.925967977,2016,0.0
35010168,-0.8313241153,-0.6347991561,-0.3043662144,-0.4786063058,2016,0.0
35010169,-0.7418012053,-0.3552443211,-0.2508997469,-0.68410171,2016,0.0
35010170,-0.6808191715,-0.5113346687,-0.1010504742,-0.6434811131,2016,0.0
35010171,-0.725896249,-0.1370536615,0.3716035424,-0.8456225832,2016,0.0
35010172,-0.5702899887,-0.4589888392,-0.3291247031,-0.7481257618,2016,0.0
35010173,-0.4802601911,-1.000754243,0.6542391433,-1.087049561,2016,0.0
35010174,,,,,2016,0.0
35010175,,,,,2016,0.0
35010176,,,,,2016,0.0
35010177,,,,,2016,0.0
35010178,,,,,2016,0.0
35010179,-0.6065641173,-1.200682764,0.2529875221,-0.6984942224,2016,0.0
35010180,0.2345764924,-0.01752491394,1.275767771,-0.2394661662,2016,0.0
35010181,-0.5509981631,0.1511016602,0.3102880283,-0.4417456444,2016,0.0
35010182,-0.6624114336,-0.2712358312,1.578531144,-0.9399151893,2016,0.0
35010183,-0.3216935034,2.450469891,-0.4275290175,1.670910914,2016,0.0
35010184,-0.3491839292,-0.9437535368,1.63088536,-0.930515492,2016,0.0
35010185,1.127151552,0.9790554769,2.131664645,-0.3104704769,2016,0.0
35010186,0.2773038601,0.3248863421,0.9993243259,-0.7066613152,2016,0.0
35010187,1.156095636,1.618562433,1.312953896,-0.425676517,2016,0.0
35010188,0.2930613337,1.524161096,0.688307681,-0.7641980194,2016,0.0
35010189,-0.2469146861,-0.9274548641,0.227709996,-0.8709456517,2016,0.0
35010190,0.3223884387,1.843648158,0.4354598848,-0.3870305939,2016,0.0
35010191,1.127614909,1.389252922,0.3436733713,-0.4675832913,2016,0.0
35010192,0.5295066447,0.8325419489,0.0665075602,-0.09915844586,2016,0.0
35010193,1.571354757,2.884383641,0.4239683107,-0.1644999508,2016,0.0
35010194,1.256134774,3.689623943,-0.1162278228,-0.4589738048,2016,0.0
35010195,1.238589301,5.044350233,-0.1553720642,-0.3413830116,2016,0.0
35010196,1.31770241,4.827650343,0.2197895283,0.1681342941,2016,0.0
35010197,1.411378861,2.931463003,-0.4619845457,-0.3383429034,2016,0.0
35010198,2.147661632,2.689436344,3.397148369,-0.7958424423,2016,0.0
35010199,1.645593292,4.630209347,-0.3496150573,-0.211106656,2016,0.0
35010200,1.238639071,2.741827262,0.6183164528,-0.005946903245,2016,0.0
35010201,,,,,2016,0.0
35010202,1.522385494,2.440459331,1.049737816,-0.5377021956,2016,0.0
35010203,1.219196224,1.843371867,0.7954182505,-0.4246809843,2016,0.0
35010204,1.897993806,1.579976223,3.051464762,-0.5893740655,2016,0.0
35010205,1.280044383,1.722594394,0.2752392969,-0.8762655262,2016,0.0
35010206,0.6186453234,0.7112960506,0.9175444599,-0.7677619048,2016,0.0
35010207,-0.1412412657,0.6276879008,0.4715209217,-0.6679081861,2016,0.0
35010208,0.606545413,1.42776354,0.5418362052,-0.4177934804,2016,0.0
35010209,0.9448874882,1.390904909,-0.3009602592,-0.7740958758,2016,0.0
35010210,2.099540839,1.915666448,1.574357099,-1.103166016,2016,0.0
35010211,0.6542237152,1.547056932,-0.02268353548,-0.5968130298,2016,0.0
35010212,1.309403321,1.583074264,0.2568569507,-0.7309537305,2016,0.0
35010213,-0.08407868057,1.976148316,0.4216358332,-0.9828372388,2016,0.0
35010214,0.2013644606,1.207866306,0.3681240784,-1.046884815,2016,0.0
35010215,-0.08315789899,1.293986959,1.427455837,-0.2369534102,2016,0.0
35010216,0.2001261269,-0.06374009814,1.16024458,-0.7523752821,2016,0.0
35010217,0.2189239323,1.338467285,0.4926743093,-0.205898814,2016,0.0
35010218,0.254425916,1.647658062,-0.04681574954,-0.3334813729,2016,0.0
35010219,0.4740754623,0.5820995971,1.34141194,-0.8322252766,2016,0.0
35010220,0.08116894603,0.5272883213,0.8127591337,-1.158662674,2016,0.0
35010221,0.4423328395,1.28296465,0.7610923587,-0.7384520582,2016,0.0
35010222,0.3694748144,1.374143896,0.5522250049,-0.6564199882,2016,0.0
35010223,1.057658756,1.392680187,1.292385731,-0.722467581,2016,0.0
35010224,-0.230903606,0.856721722,0.4323648338,-0.4625267522,2016,0.0
35010225,1.067712051,2.846610068,0.13129605,0.2431654513,2016,0.0
35010226,1.551936993,2.009937029,0.501668153,0.7954914171,2016,0.0
35010227,-0.03172407458,0.1892138077,0.9084731163,-0.5283112151,2016,0.0
