DAUID,material_deprivation,residential_instability,dependency,ethnic_concentration,patient_volume_2021
35010155,-0.21648784543300717,0.14823896811611403,0.19984167661151814,-1.3223988221241592,0.0
35010156,0.0637477420484068,-0.0072157512592861545,0.24648137747453955,-1.3459763111208578,0.0
35010157,-0.4682933610650697,0.01847283273282685,-0.27306764083807056,-1.2779527113411608,0.0
35010158,0.3243182321592841,-0.3258958426604522,0.1299724493833301,-1.5396901189820518,0.0
35010159,0.012777045813151339,-0.5816581028321404,0.5951368454982547,-1.1688521616787257,0.0
35010160,-0.35556191446666296,-0.46184785098523157,0.2926608055608052,-0.844122969629911,0.0
35010161,0.1269566031942741,-0.4735542679897189,0.6509965045409334,-1.3886701295099158,0.0
35010162,-0.38628781616658825,0.19539704493667528,1.4303692661883576,-0.7909474458039005,0.0
35010163,-0.6221181161995107,-0.20933573928025817,0.3807614687701181,-1.0823599711218619,0.0
35010164,-0.7993153024299714,-0.8346077389651209,0.09926406076505068,-1.3828266691215632,0.0
35010165,-0.022781495727821247,-0.050187124203735625,0.2500024948073749,-1.3751568015613356,0.0
35010166,-0.4989286137996971,-0.5912645633228801,0.09828762806948817,-0.803361462881462,0.0
35010167,-0.11828908523791569,-0.7566355647556384,0.3203965729656945,-1.2408912776903467,0.0
35010168,-0.9689200617375122,-0.9347374894212055,-0.34912539299456263,-0.8296193911600733,0.0
35010169,-0.9786896975054868,-0.48972183560071775,-0.4801149293043899,-0.6001396567299854,0.0
35010170,-0.3919092841433855,-0.6776310841159103,0.07641162193111979,-0.9922455797976285,0.0
35010171,-0.12380196471061196,-0.5810749416295189,0.541895934916402,-0.909361270217768,0.0
35010172,-0.47526008227337213,-0.6584425245360994,-0.12726015347536523,-0.5697846048806677,0.0
35010173,-1.0429646814623834,-0.2140701507364416,0.4839645893506348,-0.9637182153384949,0.0
35010174,,,,,0.0
35010175,,,,,0.0
35010176,,,,,0.0
35010177,,,,,0.0
35010178,,,,,0.0
35010179,-1.2700739176817404,-0.5257707541303915,0.5563034312317179,-0.3849621199544752,0.0
35010180,-0.28074866314199876,0.3160024779252409,1.2386717246956604,-0.35886205543845134,0.0
35010181,0.7259774333906376,-0.59214647588675,-0.11442876130048024,-0.24144292425975222,0.0
35010182,0.1915439642649161,-0.5731861244193435,1.6131841187977474,-0.650266234244802,0.0
35010183,2.8613541694206845,-0.5690985651060776,-1.032734309006424,0.34664318630752755,0.0
35010184,-0.41652953983241203,-0.15803751814968753,1.1202187071387864,-1.3045966968591984,0.0
35010185,0.9170456837552766,1.0701008973055306,2.4935783116121994,-0.5855400271999185,0.0
35010186,0.5955575740889837,0.624651118214931,0.6862937521081264,-0.6612215321776831,0.0
35010187,1.6755440832119048,1.2744386647636674,0.2884896630180078,-0.9748391876911177,0.0
35010188,2.0014734937450753,0.21737265086437008,0.3711969148073456,-0.8821733800163378,0.0
35010189,-0.30993878844664047,-0.37244633836838137,0.4352195972228457,-0.9009699367580513,0.0
35010190,1.116988780870975,0.3718649608631631,0.4847787098846057,-0.04554639397462096,0.0
35010191,1.4808134263068737,0.8647351011503484,0.43288146096294133,-0.8045793932709342,0.0
35010192,0.6081706356092906,1.0544064938732447,-0.08560133644501663,-0.5957502818594986,0.0
35010193,2.897431222125108,1.2825037954820604,0.12316690186120875,-1.0309877572729422,0.0
35010194,5.071295545784061,1.2794124113225451,0.22916039411178638,-0.7698694690445316,0.0
35010195,4.1112658528587005,1.3191889947511515,-0.7722889545106228,-1.0343047266210323,0.0
35010196,4.883105115600347,1.4150992889785123,-0.2894195590656533,-0.34839441390232295,0.0
35010197,2.691627682919725,1.326085966088585,-0.428952474772482,-0.9202229304886482,0.0
35010198,2.6024687343414703,2.1287813605407795,2.702226368223427,-1.3250601806035884,0.0
35010199,2.6893209855953257,1.787207830032199,-0.8149473916411707,-0.3245174588034607,0.0
35010200,1.5867481576895641,1.3684343212497951,-0.2491236558416428,-1.225766404504423,0.0
35010201,,,,,0.0
35010202,2.7880384407525476,1.2405099146594867,1.3714996434366606,-0.575723777215023,0.0
35010203,2.1550354207166125,1.6428493959658588,1.0684108051059646,-0.5771796703428,0.0
35010204,1.4058783220491646,1.8653954734862546,2.2223650726164528,-0.8561948551108058,0.0
35010205,0.8239394097595445,1.5564912483372526,0.20344045321139695,-0.4539437890513057,0.0
35010206,-0.25572811470418744,0.9995158923887336,0.5958276699126965,-0.6886483858495681,0.0
35010207,0.958303438161165,-0.2723485276216848,0.011762389048341837,-0.9638609883654424,0.0
35010208,1.5112740119296175,0.7040807862012377,0.7558457948001885,-0.5281889216328919,0.0
35010209,1.8385168343428573,1.0149190091601905,-0.46784289017524316,-1.1101957572990677,0.0
35010210,2.28600207021964,2.0447698793756857,1.676828544369475,-0.9523329048850594,0.0
35010211,1.3031731980226535,0.5419225173474583,-0.469988396155889,-1.145376633698283,0.0
35010212,2.8049626926497924,1.0223658634712516,0.4216038054589757,-0.9714562684920367,0.0
35010213,1.9516619117005058,-0.05882016940397741,0.2635860952110664,-0.9628406156405889,0.0
35010214,0.9700563364238322,0.28692210612688007,-0.19818758358548955,-1.051813107298623,0.0
35010215,1.5301939323477958,-0.005701211496912079,0.9989202311456864,-0.41890161188760106,0.0
35010216,-0.19250599134390234,0.11294362463471581,1.4765500115609251,-0.9067297764794047,0.0
35010217,0.24370754698232092,0.30853478881879864,-0.2289234324020817,-0.3404022642570464,0.0
35010218,1.358489368893464,0.2867320086887841,-0.17495226861990912,-0.6010138176035225,0.0
35010219,1.0326408085599876,0.7047574986431518,0.7694637906679701,-0.7113876943719213,0.0
35010220,0.40106771465519464,-0.04103623120685315,0.7356885175263363,-1.176995416284253,0.0
35010221,0.7498429553082547,0.8910410827612688,0.21128894795512493,-0.38659743376870237,0.0
35010222,1.7951181653749682,0.3554327015444389,0.08450397874264158,-0.5875887627532377,0.0
35010223,1.2358008320661769,1.1678127328501224,0.724765212770983,-0.5265788368881944,0.0
35010224,1.358734212338282,0.23849945940958375,0.49883424401005577,-0.8800189855296445,0.0
