DAUID,patient_volume_2021
35160106,1
35180038,1
35180475,6
35180808,1
35180859,1
35190208,1
35190308,6
35190502,2
35190729,3
35190735,6
35190900,1
35204616,240
35210815,1
35240443,1
35430842,1
