DAUID,material_deprivation,residential_instability,dependency,ethnic_concentration
35010155,0.053000097209096875,-0.4771892302122535,0.227839327055418,-1.2630031332023304
35010156,-0.05298230492997563,-0.2594852308655403,0.703184178219126,-1.1283039394972705
35010157,-0.027532100167984026,-0.7818585608978673,-0.07708540824917293,-1.0900660679218301
35010158,0.6202563833586284,-0.4229026117701221,0.1689251635760447,-0.8680303492835102
35010159,-0.03693195376602981,-0.5760179514913811,0.5191812150067067,-0.8154817430100821
35010160,-0.22978052237975521,-0.4971030774811013,-0.033768107708281064,-0.8604918071356888
35010161,0.00252928165620675,-0.6453809736664575,0.16112215884380005,-0.8900823417374615
35010162,0.2612123452451345,0.014347358626298268,1.8545992581601705,-1.0703456360116879
35010163,-0.18375831065220016,-0.41045232310963686,0.37665471385913457,-1.1880880964941214
35010164,-0.1992574320705368,-0.7009669985178395,0.6742788374964369,-1.2090234043587418
35010165,-0.1901061997804081,-0.5441035950188537,0.38994826239479075,-0.8050056886956287
35010166,-0.12497662185279045,-0.8666083953619711,0.2083024159160619,-0.9296191608905737
35010167,-0.3065531394410525,-0.6884408838827787,0.4603983021393857,-0.9259679769720505
35010168,-0.634799156135595,-0.8313241152845156,-0.30436621442037326,-0.47860630581483593
35010169,-0.35524432114113746,-0.7418012052661754,-0.25089974688639616,-0.6841017100152865
35010170,-0.5113346687359551,-0.6808191715448306,-0.1010504742069041,-0.6434811131498006
35010171,-0.13705366151040216,-0.7258962489996532,0.37160354242608334,-0.845622583217233
35010172,-0.4589888392287924,-0.5702899887378776,-0.3291247030522846,-0.7481257617948572
35010173,-1.000754243419839,-0.48026019113614504,0.6542391432899368,-1.087049560835786
35010174,,,,
35010175,,,,
35010176,,,,
35010177,,,,
35010178,,,,
35010179,-1.2006827636010624,-0.6065641173117455,0.2529875220720586,-0.6984942224376711
35010180,-0.01752491393603009,0.2345764924192414,1.27576777124984,-0.23946616620745004
35010181,0.15110166015334503,-0.5509981630635401,0.3102880283294847,-0.44174564442207787
35010182,-0.27123583123158135,-0.6624114336263156,1.5785311440130165,-0.939915189272869
35010183,2.4504698910418283,-0.32169350342212166,-0.4275290174564923,1.6709109138140228
35010184,-0.9437535368006795,-0.34918392915417173,1.6308853604749816,-0.9305154919580512
35010185,0.979055476863091,1.1271515521470037,2.1316646454714854,-0.3104704769213843
35010186,0.32488634209364403,0.27730386008986363,0.9993243258996528,-0.7066613152312778
35010187,1.6185624333494446,1.1560956359417456,1.3129538958920062,-0.4256765169602156
35010188,1.524161096341074,0.2930613336711519,0.688307680969239,-0.7641980193560778
35010189,-0.9274548641351356,-0.24691468606271974,0.22770999597919106,-0.8709456516853165
35010190,1.8436481575711963,0.32238843870846456,0.4354598847979474,-0.3870305938658779
35010191,1.3892529215767033,1.1276149085455867,0.3436733713318287,-0.46758329131966847
35010192,0.8325419489243591,0.5295066447287524,0.06650756020445833,-0.09915844586467487
35010193,2.8843836412593973,1.5713547567478843,0.42396831068277113,-0.16449995075486581
35010194,3.6896239432820064,1.2561347736196127,-0.11622782278211335,-0.4589738047800609
35010195,5.044350232915164,1.238589301243766,-0.15537206420796612,-0.3413830115816998
35010196,4.827650342688901,1.3177024099594081,0.21978952830052123,0.16813429408785163
35010197,2.9314630027579116,1.4113788610982363,-0.46198454569444736,-0.33834290344322926
35010198,2.6894363438235125,2.147661632139328,3.39714836918508,-0.7958424423227632
35010199,4.630209346508855,1.6455932921611163,-0.3496150572884762,-0.21110665598685943
35010200,2.741827262327254,1.2386390709340405,0.6183164527567795,-0.005946903245427827
35010201,,,,
35010202,2.440459330949386,1.522385494391552,1.0497378161856576,-0.537702195643853
35010203,1.8433718668253192,1.2191962239060712,0.7954182504950805,-0.42468098427629397
35010204,1.5799762227654885,1.8979938062653448,3.0514647621770115,-0.5893740654694184
35010205,1.722594394461209,1.280044383318296,0.2752392969391087,-0.8762655261699899
35010206,0.7112960505695445,0.6186453233661888,0.9175444599338425,-0.7677619047706016
35010207,0.6276879007700742,-0.14124126567957998,0.4715209217163937,-0.6679081861249124
35010208,1.4277635397620045,0.6065454130169352,0.5418362052274102,-0.41779348044909315
35010209,1.3909049089531844,0.9448874882006111,-0.30096025917775693,-0.774095875765612
35010210,1.9156664481120433,2.0995408393089945,1.5743570991509614,-1.1031660162250665
35010211,1.5470569320141874,0.6542237152445327,-0.022683535477952793,-0.5968130297683548
35010212,1.583074264440571,1.3094033213374412,0.2568569507329707,-0.7309537304533711
35010213,1.9761483161041786,-0.08407868057025215,0.4216358332293807,-0.9828372387829567
35010214,1.2078663056083745,0.20136446061039853,0.36812407841735073,-1.0468848154233554
35010215,1.293986959490577,-0.08315789899127819,1.4274558365475383,-0.2369534102367626
35010216,-0.06374009813533554,0.20012612693375847,1.1602445796778986,-0.7523752821068972
35010217,1.3384672854786377,0.21892393234368845,0.4926743093033875,-0.2058988139505355
35010218,1.6476580622448262,0.2544259160349379,-0.04681574954426776,-0.3334813729346747
35010219,0.5820995971183683,0.47407546225944186,1.3414119398625322,-0.8322252765729848
35010220,0.5272883212649255,0.08116894602745846,0.8127591336935285,-1.1586626738816306
35010221,1.2829646500547456,0.44233283949929314,0.7610923587069743,-0.7384520581596454
35010222,1.3741438962329915,0.3694748143611665,0.5522250048803093,-0.6564199881909974
35010223,1.3926801866074807,1.0576587561666932,1.2923857305941415,-0.7224675809672976
35010224,0.8567217220491656,-0.23090360600804363,0.4323648337899961,-0.4625267521818875
35010225,2.8466100680624455,1.0677120505745075,0.1312960500105954,0.24316545125057526
35010226,2.009937028507412,1.5519369927560356,0.5016681529781122,0.7954914170893428
35010227,0.18921380769898527,-0.03172407457880995,0.9084731162500643,-0.5283112151447367
35010228,-0.9318173889016507,-0.3030639571557055,0.8785502312070924,-0.4879493932070946
35010229,-0.6606596043938966,-0.5184481683883411,0.2626656100114389,-0.6091098589201633
35010230,-1.212825684084914,-0.7357268801170208,0.6769474603704819,-0.43229708737549877
35010231,-0.6655526220731336,-0.5227030825453929,0.6322535130149862,-0.6390045050101366
35010232,0.27389142851721976,-0.5602404389215392,0.6058329798510693,-1.1284274787305426
35010233,-0.32869111548221447,-0.3958369308637463,0.9003000010977344,-0.8245033144373721
35010234,0.44439116526199246,-0.2498605607800884,0.11505885611048082,-0.8454930155119469
35010235,-0.07227234044850692,1.6107938076532815,2.510279186255071,-0.9571053564072725
35010237,1.5601367374342916,1.2969035081041635,2.266860926592712,-0.7279342751425117
35010238,2.1542635852882666,1.5156299168260703,0.6363792572323105,-0.5989210900929667
35010239,1.211120796980215,1.273198376412786,0.8397295687547928,-0.8055378933168466
35010240,2.2751882219579436,0.8472521856558038,-0.7374824825177047,-0.7154581341123996
35010241,2.5726850962591463,0.7269025242680587,-0.27218980491324546,-0.29943341728713896
35010242,2.3126998473808418,0.6558756032271997,-0.06484695978342958,-0.7578688855493946
35010243,2.054537396547745,0.397125762338211,0.34097890532323477,-0.5949006422445702
35010244,2.2922258965204696,0.9917459192486245,0.16363398482037556,-0.37498280882422436
35010245,2.3813748736292437,0.9010207769904324,0.14129827181005405,-0.8386923885472966
35010246,0.37371583125605756,1.02863049331572,0.8834024967367322,-0.6388680003764408
35010247,1.5888854375166492,2.630755937137808,3.817124659107524,-1.3650876610691693
35010248,1.5138898949544244,2.5465955366537765,10.051260670207501,-1.4141815615731481
35010249,1.263346987469494,0.7604913908427852,0.9614172380802222,-0.895819252827238
35010250,0.2535911669416191,-0.037522128517907344,-0.00890911021751236,-1.1148208155648853
35010251,-0.11593552851541888,-0.7813022251671338,0.2996684045930253,-0.6371356297902222
35010252,0.47718953795865743,-0.03136107832446104,0.25410701023836035,-0.7680254117699317
35010253,-0.1136040286101585,0.002312263968406919,0.29593516379881324,-0.5261988836730448
35010254,-0.3574401268239254,-0.7007045967385157,0.6863463977878759,-0.609540344461287
35010255,0.7522288494300772,-0.3923408503822411,0.3481455518587557,-0.4598468208572294
35010256,0.7067428770409063,-0.4014417962696576,0.10179944277092894,-1.0863890340376323
35010257,-0.13742506089234555,0.434136358212467,0.6837840395881737,-0.8153073143924319
35010258,-0.10052659273211578,-0.24965195916552718,0.44278106133512063,-0.6271074037501234
35010259,-1.7369256572429732,0.1236285335174166,0.7727360908742948,-0.8502421418845163
